sentiment,message,tweetid
1,"RT @DWilliams1001: @CalNurses Bernie Sanders visits Iowa Jan 8-11: Holds Families, Veterans, Climate Change, Brown &amp; Black Forums https://t…",685968124659777536
1,An excellent film! Should also watch Thin Ice as a companion https://t.co/eRokqKizcx https://t.co/UUT2NHhUkQ,684402588717047808
1,RT @JulianBurnside: Fascinating to see climate change deniers Bolt &amp; Sheridan so excited about Trump's win. So politics contradicts scienceÃ¢â‚¬Â¦,796501388201050112
1,RT @Imthiyazfahmy: Thank you pres @MohamedNasheed &amp; VP Al Gore and all the international champions for action against climate change 👏…,823581790933753856
0,RT @MathsParty_MPA: What would it take for liberal electorates to change their mind on climate change? #auspol,954329321191170048
1,"RT @SustainableDoc: @realDonaldTrump While you're at it, you should thank Exxon for hiding climate change evidence for almost 40 years. SAD!",840723853294804992
2,physorg_com: New research predicts the future of #coralreefs under climate change https://t.co/GVM16vPpAE,816941403448233984
2,Natural Gas could be part of the solution to fighting global warming #MedicineHat #bhivec https://t.co/8UOzFV6FIl,955488907092742150
2,BBC News - Most wood energy schemes are a 'disaster' for climate change https://t.co/5y4u0p8Thh,834732993809940480
1,"RT @MuseWendi: jane is bernie$q$s anger translator, and i$q$m here for it https://t.co/cVyfzzvist",780762714679435264
1,RT @afreedma: BIG: SecDef Mattis understands climate change risks far more than the head of the EPA. https://t.co/aq94bUVR3o via @Revkin,841741461083328513
1,RT @RT_America: 'We believe that the mitigation of climate change is essential for the safeguarding of our investments' https://t.co/jl3hOz…,861701946343739392
1,"RT @marc_rr: Excellent (slightly provocative):
Anti-vaccers, #climate change deniers, and anti #GMO activists are all the same…",872404354451611649
1,How we know that climate change is happening—and that humans are causing it | Popular Science https://t.co/qXskoJUk9R via @PopSci,839965699279769600
2,"Pollution, climate change affecting everyone: Rajnath Singh: Addressing the valedictory session at the NGT World…",846024893003124736
-1,"RT @Gingrich_of_PA: Finally, a president who directs NASA to do something to prevent extinction (Hint, it ain't climate change) https://t.c…",881867557267017731
0,@FoxNews global warming? or climate change?,953176133050216448
1,An Open Letter to Every Climate Change Denier: We know that certain things trap heat. We can test that very ea... http://t.co/gx4Ui4Ltyk,628894043280244736
1,RT @DrAmy_Collins: As physicians we need to talk about the connection between climate change and human health. 'When we talk about health wâ€¦,957022070755471360
2,Arctic ice melt could trigger uncontrollable climate change at global level | Environment | The Guardian https://t.co/6ATfKqSPG6,802098354838708224
1,3/ objective journalism sticks to facts: 'science says climate change is real' - and avoids ascribing motives etc.… https://t.co/u1fsUDQ4xE,822013271737778176
2,"RT @robintransition: Global green movement prepares to fight Trump on climate change

https://t.co/1be4qfh3Ut",799680510083604480
1,"RT @sethstump17: Don't understand how human caused climate change can just be ignored like this, we should be taking more steps to help the…",847562426396549121
-1,"RT @kris_kinder: $q$If we don$q$t kill the babies, global warming will end up killing the babies.$q$ https://t.co/oGVJPvgDDu",778120655040643074
1,RT @nytopinion: Trump is leading the only major political party in the advanced world to deny climate change https://t.co/J9OHXhrcHB https:…,736184884625059840
1,RT @GrasslandBio: If you want to know more about impacts of climate change on Alberta biodiversity https://t.co/76uSC6c3Us,626711352057270272
1,"The thing is; I don't directly care about the animals, but I care about climate change. THOSE BALLOONS ARE KILLING… https://t.co/6v0kFzNupN",802034275700740096
1,"RT @afreedma: Remarkably, Trump never once acknowledged reality of global warming in his Paris Agreement speech today https://t.co/5Fwa9E4X…",870464129521274881
1,Someone tell @realDonaldTrump to get busy. Record-breaking climate change pushes world into ‘uncharted territory’ https://t.co/RJCiqWWOPx,844089166262685700
1,RT @HuffingtonPost: Let$q$s not forget that Donald Trump would be a total disaster on climate change https://t.co/qhv3ciSOwu https://t.co/BMc…,785443472735997952
1,RT @wildwestleft: THAT is why they fight climate change science ! https://t.co/XihafxTsm5,928407014560157696
1,in bio &amp; most of the class is either slightly or less concerned about climate change?? like ya'll ain't worried about us drowning??,806167746736074752
0,RT @CostaSamaras: Talked about climate change/adaptation w/ the first-year engineers today. Said: not an envt'l issue; rather it'll affectÃ¢â‚¬Â¦,793268550387372032
1,RT @Cannddycane: climate change is happening people!!! It's also very bad!!! stop listening to republicans that literally know nothing abou…,806253500640493568
0,"RT @GhoshAmitav: Great to meet this eager crowd at Jadavpur U, Kolkata. Who says young Indians aren$q$t interested in climate change? https:/…",760792318807011328
1,RT @lauralhaynes: I'm an #actuallivingscientist! I study past climate change and ocean acidification using tiny zooplankton shells…,828644047522766855
2,"RT @BDTSpelman: Jane Fonda: If we don't address climate change immediately, four years from now it will be too late.",796832306833096704
2,Over 100 scientists from EU to assess challenges posed by climate change at @climateurope #Valencia 5th-7th April… https://t.co/fZcqbMZS0C,836853168441012225
0,"RT @ColumbiaUEnergy: Missed our event with Fu Chengyu on China, #energy &amp; climate change? Listen to the full audio here:… ",808344123203878912
1,This whole global warming thing really is unfortunate...,793257968074526720
1,Opinion | Another deadly consequence of climate change: The spread of dangerous diseases https://t.co/uvkFm2rMP6,869815827238969344
2,Gov. Jerry Brown warns Trump that California won't back down on climate change https://t.co/LRJUROK7hh,796881571957637120
2,"Climate talks: 'Save us' from global warming, US urged - BBC Newsn https://t.co/jLGgZk2ki9",800231480098177024
-1,"RT @nightridercz5: @FMJAmerican @RealJamesWoods Gore is done, before he even gets started he has made millions off of a false warning, of g…",632189143779446784
1,It$q$s a Deal! Pact Approved to Stop Global Warming: A deal to attempt to limit the rise in globa... https://t.co/8JN8iWu3J1 #climatechange,675774496997904384
2,RT @thehill: First EPA chief: Trump's refusal to accept climate change is 'a threat to the country' https://t.co/nYarGcabwg https://t.co/xrâ€¦,955811808362881024
0,@Visiter And they say global warming's a bad thing. Soon we'll have a coral reef and clown fish..... or maybe just warm mud and grass.,880705932275089408
-1,RT @MitchBehna: We don't deny climate change. Its been around for 4 billion years. Leftists think it has only been last 100 years https://t…,847225329181614081
1,RT @Campervan_Andy: “Leo finally wins an oscar and uses his moment to talk about climate change.” by Stand For Trees https://t.co/7uQYJ2Sg1B,704307195781885952
1,"@wfaachannel8 @David_in_Dallas this global warming sure is getting out of control, the celebrities, the pope, and obama are right, it's hot",810717041166385152
1,"RT @AstroKatie: If you think fighting climate change is expensive, you won't BELIEVE how expensive it will be not to. https://t.co/oPqzqrLm…",842476118217248768
1,That's what may happen to arctic #peatlands in times of climate change with melting ice shields and rising temperat… https://t.co/ZJR3raLyDF,896009051846447105
2,G7 leaders blame Trump for failure to reach climate change agreement https://t.co/6MWJA4Rtrs,868498219478777856
1,RT @scwolek: The planet just had its hottest 4 years in recorded history. Trump is dismantling efforts to fight climate change. https://t.câ€¦,950398253178109952
0,Guess who was â€˜personally involvedâ€™ in removing climate change from the EPA website? https://t.co/dae9FdXvzN https://t.co/yr5wjSssdb,956788276400148483
-1,"RT @ritholtz: DOUBLEPLUSGOOD

Energy Department climate office bans use of phrase ‘climate change’ 
https://t.co/OIavuwsTED",847220948172451841
0,"@brianklaas That sounds like a homeless person, burning with conviction, talking about climate change.",956667632333279232
2,"Europe faces droughts, floods and storms as climate change accelerates #climatechange https://t.co/FhMJ2h353f https://t.co/F1cNu2jsnG",845576180522799105
1,"RT @TheKennyDevine: You say climate change isn't real, overwhelming evidence says it is. Let's call the whole thing an embarrassing bli… ",811455345432219648
1,@Cosmopolitan @maddiewynne17 honestly global warming is fucking real. im moving to oregon i could give a fuck about california,891067958482526208
1,@kurteichenwald Not to mention Trump and family who wrote a letter in 2009 urging Obama to act on climate change.,870873021405306881
0,It's been 1 week since I deleted Grindr. The sun is brighter. The birds are singing. Actually this may just be global warming never mind.,808410846699417601
0,@galebabsss sure nana? 3 meetings nami wa sudli ni sir climate change. Bahala na sila oy basta di na sila mg samok2 ig finals.,783674153287102464
0,RT @azannaphx: Guess who was â€˜personally involvedâ€™ in removing climate change from the EPA website? https://t.co/zgWxpuzTgM via @grist,959465849957572608
1,The psychological cost of climate change: Like this article? rabble is reader-supported journalism.… https://t.co/jpYMTLM9F8 | @rabbleca,741389279692099584
2,Japan among worst performers in fighting climate change: Germanwatch https://t.co/qSzH07jx83,799028179323277313
1,"RT @gbickerton398: Politicians debating climate change:
By Isaac Cordal
#climatechange http://t.co/sFNDl0G68L",643828618859278336
1,"Guys, go watch National Geographic / L. DiCaprio's doc on climate change, Before the Flood. It's free so no excuses. https://t.co/sNqiOes2UL",793691146866139136
2,RT @buzz_us: Apple and Walmart stand by climate change policies despite President Trump’s... https://t.co/ix2fyK9maY by #helenmag via @c0nv…,847806039277883392
2,"RT @Bentler: https://t.co/25iMFpgpti
Lloyd's of London to divest from coal over climate change
#climate #insurance #investing https://t.co/â€¦",953676984315506688
1,"Gotta love America, where we trust a groundhog named Phil for weather predictions, but still donâ€™t trust scientists on climate change.",958489710007062528
0,@snoopybunny @darhar981 @Charlie2749 @heidiponyrider @tracieeeeee @HeidiStea I texted friend wanting2know WHERE MYblasted global warming was,841459430764007424
1,"RT @350Mass: 350 Mass MetroWest Node 'gears up to fight climate change' writes @metrowestdaily #mapoli #peoplepower 
https://t.co/JBIgO7entL",799785375220776960
1,RT @MintRoyale: He's already solved climate change! https://t.co/MsYPI8fruL,822499804207087619
2,"RT @pewresearch: Science knowledge influences Democrats', but not Republicans', expectations for harm from climate change https://t.co/iV9Vâ€¦",953710645547069442
0,"1-4 inches of snow my ass, global warming fucked that right up, stay Woke.",849926986218823681
0,@WSJ thank you global warming - and you thought it was a bad thing ;-) jc,839971945676439553
2,"RT @Independent: Trump administration’s censorship of climate change should ‘send chill down your spine’, top scientist warns https://t.co/…",902512462892859392
1,@BehePrahallad hello. Wish to collaborate on a global climate change conference with you. Pls connect over email/call 8130171117,918369804171534339
2,"RT @ReutersWorld: In a rare move, China has criticized Trump's plan to exit the Paris Agreement on climate change:Ã¢â‚¬Â¦",793589521514455040
2,"Customs bill would limit president's actions on climate change: PARIS, FRANCE Ã¢â‚¬â€œ Last night the conference comm.. https://t.co/32q7sKaEUh",798018769624952832
0,Israeli security still seems to be hot. Baffling.  https://t.co/BTg0mesVC2,671773704506974208
-1,RT @AMike4761: CON ARTIST Al Gore group demands $15 trillion to fight global warming #ma4t https://t.co/R5LJ…,871858535709237248
1,I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/umrOTSuJXP,794699455371051008
0,RT @MarkDice: I'm a big fan of global warming. I hate snow and cold weather. #climatemarch,858737066967941120
1,"RT @SenBillNelson: Sea-level rise is a real threat to Florida. If the U.S. stops fighting climate change, the rest of the world will too an…",878509781278916608
1,RT @aurabogado: Three white women have published articles this week about their climate change anxiety. They completely suspend race from t…,907073646014943232
0,"RT @exjon: And Jesus is disappointed in you. Also, climate change. https://t.co/RxCWJKw0Wm",667122924604665856
2,"RT @cnnbrk: Trump will sign executive order to curb federal regulations combating climate change, reversing Obama-era legacy.…",846561218290704385
0,"RT @JackMcPatton: The Blame on climate change... shame on you.
BREAKING NEWS: Emergency services rush to Manchester Arena https://t.co/oEn1…",866864797039644673
1,@Independent @violencehurts While the Australian government remains opposed to renewables. Continuing to burn global warming coal.,830727812008939520
0,@sexidance Yall trying to make climate change about yalls asses all of a sudden ðŸ™„ðŸ™„,956291838457106432
1,Add your voice to @Pontifex’s call for bold action on climate change: http://t.co/AwycrorCdX,614103101092446209
2,End of the National Climate Assessment: Trump dissolves climate change advisory panel https://t.co/3y2z7ltFg7,899652585002369024
1,"RT @c40cities: Fumiko Hayashi, Mayor of Yokohama, is a model leader fighting climate change #Women4Climate → http://www.c40/women4…",841437510215577605
1,RT @ChubbahBubbah: Trump Presidency promises 4 more years of climate change denial. https://t.co/SeM1tX78tD,797975478170779650
1,"RT @QuentinDempster: Hey @MrKRudd Good interview  @leighsales but you didn't mention climate change: it's bigger than terrorism, anti-de… ",811510780067647488
2,Turkish gas companies with corrupt past get World Bank loan | Climate Home - climate change news https://t.co/wP1yFWjjpl via @ClimateHome,811872813317427200
1,@YadiMoIina gag orders? Sure. He's definitely green and doesn't think climate change was a hoax made by CHINA.,824827568163586048
0,Obama to warn Coast Guard cadets global warming a national security ‘threat’ http://t.co/7zpYgTy4rX barry$q$s  ash heap of history speech,601053308631916544
1,The thing about the ice melts taking place right now is that it isn't a linear response to global warming its a quadratic relationship,794599311166214144
2,Australia ranked among worst developed countries for climate change action https://t.co/aAZthu5phV,799115455319461888
